conversation_id,tweet_id,text,cluster_hint,stratum,intent,is_ambiguous,is_multi_intent,notes
2736268,2736268,"Me n the missus ordered 2 signed DVDs for our kids from , Only received One! :( going to have very upset kids come christmas morning, is there anything we can do?",0,normal,wrong_or_damaged_item,Y,N,
2918813,2918813,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",0,normal,website_or_app_ux,N,N,
910739,910739,"hello, can I add items from other regions to my US wish list?",0,normal,availability_or_eligibility_query,N,N,[relabeled from how_to_or_feature_question: cross-region purchasing eligibility]
1279788,1279788,stop selling poor quality items.i ordered a set of 4 ADSL splitters and not a single piece was working.,0,normal,wrong_or_damaged_item,N,N,
2685118,2685118,I have in tech improvement idea for the firestick.,0,normal,website_or_app_ux,N,N,
1043199,1043199,Amazon is really struggling with translations. I think.,0,normal,general_complaint,Y,Y,
1445438,1445438,terrible experience with Global Shipping. Pathetic vendor #UPS #i-parcel at #Singapore my courier is lost??!?,0,normal,customer_service_quality,N,Y,
362031,362031,Hey your packaging is a little much #savethetrees #wasteful,0,normal,general_complaint,Y,N,
388804,388804,Hey can I expect some offers on my prime membership renewal...??? #AmazonGreatIndianFestival #AmazonIndia,0,normal,subscription_or_membership,N,N,
442854,442854,I’ve sent messages about this through the site and trawled my settings to change. It’s irksome. How to I get it updated please?,0,normal,device_or_app_technical,Y,N,
2747218,2747218,"My first prime arrival of the holiday season showed up completely broken, not the holiday cheer I was hoping to feel :(",0,normal,wrong_or_damaged_item,N,N,
1131333,1131333,"Purchased OnePlus5 phone. It had special offers mentioned for Kindle, Clear Trip &amp;AmazonPay balance. I have still not received any",0,normal,general_complaint,Y,N,
1490162,1490162,. Pre-ordered #Slobberkocker a month ago. Now I've been told it won't be dispatched until DECEMBER! Why?,0,normal,delivery_delay_or_missing,N,N,
317271,317271,"It's so hard to deal with #Amazon.com please understand customer's value, please stop to deal with #AmazonIndia it's bad experience ever",0,normal,general_complaint,N,N,
1676570,1676570,I’m still not over the fact I was able to order by pressing a button on the fridge.,0,normal,general_complaint,N,N,
1676496,1676496,is a terrible service. I will forever make sure everyone I know never uses it,0,normal,general_complaint,N,N,
2589155,2589155,are all LED bulbs/lamps sold on amazon BIS approved?,0,normal,availability_or_eligibility_query,Y,N,[relabeled from customer_service_quality: product certification/policy question]
2752522,2752522,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,0,normal,how_to_or_feature_question,Y,N,
2512868,2512868,Winners of #skullcandypartyhop ??,0,normal,general_complaint,N,N,
1176291,1176291,When is this going to be put back in stock?,0,normal,availability_or_eligibility_query,Y,N,[relabeled from customer_service_quality: stock-restock question]
1319003,1319003,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,0,normal,return_or_refund,N,N,"[relabeled from order_status_or_tracking: failed return pickup, not order status]"
1325575,1325575,Not on priority its high priority you have committed and you have to solve it,0,normal,general_complaint,N,N,
2907814,2907814,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",0,normal,customer_service_quality,N,N,
183131,183131,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,0,normal,order_status_or_tracking,N,N,
1832134,1832134,How can a site with as much merchandise as have such a poor selection of windshield wipers? Guess I get to go to the auto parts store at lunch tomorrow.,0,normal,general_complaint,Y,N,
1732086,1732086,"What's with #PackageDelivery by #AmazonLogistics? Lost 1, delayed 1! #strange . #AmazonPrime guarantee be damned!",0,normal,delivery_delay_or_missing,Y,N,[relabeled from order_status_or_tracking: describes lost+delayed packages; flagged ambiguous/multi-issue]
167976,167976,"So, today's courier decided to throw a LiPo battery up the stairs instead of walking. Thankfully the seller knew how stupid couriers can be sometimes. We're charging now to make sure it's not damaged for sure though.",0,normal,customer_service_quality,Y,N,
2934446,2934446,"Well, that's me bought a new kilt... (Yeah, I know, bought not made - I'm getting fat and lazy in my old age) It is amazing what you can get on nowadays",0,normal,general_complaint,N,N,
500790,500790,Someone from needs to contact me immediately.,0,normal,customer_service_quality,N,N,
834465,834465,When is Mr. ROBOT season 3 episode 1 going to be available?!,0,normal,availability_or_eligibility_query,N,N,[relabeled from subscription_or_membership: content-release timing question]
2488458,2488458,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",0,normal,how_to_or_feature_question,N,N,"[relabeled from website_or_app_ux: app-feature capability question, not an availability question]"
2689326,2689326,"hello, not sure if this falls under your remit but the PSVR Black Friday bundle available on your site says it’s not available but you can order it and it will send when available. is there any way you can tell when it will be available?",0,normal,availability_or_eligibility_query,Y,N,[relabeled from device_or_app_technical: product-availability timing question]
1327027,1327027,do you have hindi subtitles for #suits?,0,normal,availability_or_eligibility_query,Y,N,[relabeled from device_or_app_technical: content-feature availability (subtitles)]
2608097,2608097,Why would stop working on our new tv? #anyhelp #amazonvideo #amazon #samsung,0,normal,device_or_app_technical,Y,N,
2948199,2948199,can deliver on 11/14 and 11/17 and 11/22 but suddenly on 11/28 the address is undeliverable.,0,normal,delivery_delay_or_missing,Y,N,
431111,431111,such a hopeless competition. I've been giving all answers right since 2. Still no luck #apptreasurehunt #AIFWSS18 #AmazonIndia,0,normal,general_complaint,N,N,
180448,180448,your exchange offer not for every PIN area. So stop this ugly add and told this offer valid for selected PIN area.,0,normal,availability_or_eligibility_query,Y,N,"[relabeled from delivery_delay_or_missing: promo regional-eligibility question, not delivery]"
113745,113745,can you explain what delayed due to 'external factors' actually mean and how you expect people to contact you?+,0,normal,order_status_or_tracking,N,N,
2953691,2953691,this is what I ordered boxes of 72. six times already you send one piece? Teach your robots better,0,normal,general_complaint,Y,N,
397293,397293,The worst &amp; btr exp with AmazonIn Cust Serv. Brght a mobl honor8 frm amazonIn. found it faulty.,0,normal,website_or_app_ux,Y,N,
473208,473208,why do you send incorrect tracking updates. #falseservice,0,normal,order_status_or_tracking,N,N,
