query_id,query_text,query_intent,rank,retrieved_conversation_id,retrieved_customer,retrieved_reply,score,relevant
0,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,account_access_or_security,1,95445,No that's why I reached out. What other troubleshooting should I do? I'm using a Tap and have an Amazon Music Unlimited account. thanks.,Let's take a deeper look into this in real-time via phone or chat here: ^ML,0.639,1
0,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,account_access_or_security,2,416734,My Amazon prime won't work! Highly irritating. #amazonprimevideo #Amazon,"I'm sorry to hear this! Are you receiving an error, and what device are you using? ^BH",0.638,1
0,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,account_access_or_security,3,425468,"hi there. i made an order using amazon prime now, and for some reason the order was cancelled and i can't seem to log in","Hi Ryan, sorry to hear that, when you try to login, what happens? ^AS",0.635,1
0,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,account_access_or_security,4,75978,"Hi What happened to your app? The latest update deleted my entire music library, limited my prime access (due new 'music unlimited') and the images don't match the songs 👻👇🏻","Sorry to hear that, Dalila. Can I ask which Amazon site you use (.com / .co.uk / etc)?^TI",0.626,1
0,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,account_access_or_security,5,418803,why i can't login to Amazon?? hhhmm cc:,I'm sorry for the trouble! Have you reached us by phone to discuss this: ^ST,0.619,1
1,"hello, can I add items from other regions to my US wish list?",availability_or_eligibility_query,1,349777,i ordered an item and got a different one. I want to send it back to you. Can I send it from other country to you in the US?,Is it directly from us or a marketplace seller? ^AS,0.564,0
1,"hello, can I add items from other regions to my US wish list?",availability_or_eligibility_query,2,330898,"Interesting feature in app, Wish List section.",Great that you liked it. Enjoy saving your to-shop list from here. ^CB,0.495,1
1,"hello, can I add items from other regions to my US wish list?",availability_or_eligibility_query,3,363359,Yes and yes. Issue only seems to happen when adding item to cart accessed from wish list.,Can you confirm the model and OS version on the device? ^MJ,0.484,1
1,"hello, can I add items from other regions to my US wish list?",availability_or_eligibility_query,4,382714,Just tried it but still the same result :/ I'm able to edit/delete stuff in my wishlists but not add things to them,"We'd like to troubleshoot this further with you, please reach out to us by phone or chat here: ^GR",0.484,1
1,"hello, can I add items from other regions to my US wish list?",availability_or_eligibility_query,5,206695,is there a way for a company/manufacturer to tell if they are on people's Amazon wish lists?,"For more information on this, please see here: ^CO",0.455,0
2,are all LED bulbs/lamps sold on amazon BIS approved?,availability_or_eligibility_query,1,300056,"Anyone know Philips return policy on the Alpenglow lamp on sale at Amazon, if not bright enough may need to return it. Not clear on website?",You can review our returns policy here: ^AF,0.447,1
2,are all LED bulbs/lamps sold on amazon BIS approved?,availability_or_eligibility_query,2,250541,do you have any upcoming lighting deals? My app says none are coming.,You can view the available Lightening Deals here: Happy Shopping! ^SH,0.441,1
2,are all LED bulbs/lamps sold on amazon BIS approved?,availability_or_eligibility_query,3,290410,Your sellers are very notorious n irresponsible... It seems Amazon doesn't has any regulations for them..... Highly unsatisfied with you ppl,I'll surely pass on your comments to our concerned team internally. ^SH,0.439,1
2,are all LED bulbs/lamps sold on amazon BIS approved?,availability_or_eligibility_query,4,434408,So you're gonna let sellers decide any ridiculous price that they wish. No regulations whatsoever?,We try to ensure that the MRP mentioned on the website is same as the MRP mentioned on the product that is delivered. (1/3) ^SV,0.43,1
2,are all LED bulbs/lamps sold on amazon BIS approved?,availability_or_eligibility_query,5,279900,is amazon selling fake products on their website?,"Hi Sanghpriya, we would like to know more on this, kindly contact us on the link given ^RD",0.419,1
3,"even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",customer_service_quality,1,232179,why you people takes order if your courier service is that bad and cant give it #fraud,Sorry for the inconvenience. Please contact our support team here: they will help you further. ^GU,0.802,1
3,"even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",customer_service_quality,2,450821,Your couriers said they attempted delivery but they obviously didn’t. That is fraudulent. They are lying.,"I would like a team member to look into this for you, Frederick! Please add your details here: and we will be happy to investigate this! ^FR",0.766,1
3,"even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",customer_service_quality,3,403514,seriously not impressed with lying courier. The parcel dumped on my doorstep. They didn’t even knock. Claimed I signed for it!,"I'm very sorry about this! We would like to help! When you have a moment, reach out to us here: ^HM",0.728,1
3,"even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",customer_service_quality,4,80829,hi. Your courier (amazon transportation services) did not deliver consignment and status fraudulently updated as delivered. Three calls to your customer care and a mail has no result. This is not first time. Better to wake up.,That was unexpected. We'd like to take a closer look into this. Kindly share your details here: and we'll get this issue resolved at the earliest. ^BV,0.719,1
3,"even after customer gives receipt of courier which is as clear as it gets, your customer care tells that it is not clear. #fraud",customer_service_quality,5,367913,Online chat rep told me i simply had to wait. He ignored the fact the courier are fraudulently claiming successful delivery/signature. When I protested he eventually gave a replacement for two items and refund for one other. Very poor service.,"I'm very sorry for the poor support experience. Sometimes, couriers accidentally scan early so we'll ask you to wait. ^AM",0.707,1
4,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",customer_service_quality,1,176402,Is it possible to have a online chatting because I don’t have such a phone number as I am a foreigner user of amazon.,We certainly have the chat option available. Please click on the link here: and follow the path: login &gt; Choose an option &gt; Choose Reason &gt; Choose Issue &gt; Choose the mode of contact as chat. ^AP,0.704,1
4,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",customer_service_quality,2,347509,it brings me to chat option and then it wants me to call Amazon to get it resolved,Some issues may need to be investigated by phone or chat so the option to email may not appear/ ^JJ,0.661,1
4,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",customer_service_quality,3,222634,You are the THIRD person I am chatting with. No solution so far. Maybe I will swing by Amazon HQ which is close to my office.,"Have you since updated your payment, to make sure this does not happen with future orders?^CD",0.635,0
4,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",customer_service_quality,4,138915,I'm only able to access my phone atm so can't do live chat. Is it possible to message you my order number?,"We don't have access to account sensitive information via twitter; however, we would still like to review this order with you. Please reach out via the link above once you are able to do so. ^QJ",0.627,1
4,"Hi, how do I chat online to someone regarding an order? I can't find it on amazon uk.",customer_service_quality,5,199517,amazon chat isn’t up?,Chat might not be available for all help scenarios. Have you tried the phone option: ^AF,0.617,1
