conversation_id,clean_text,cluster
617,Way to drop the ball on customer service so pissed right now!,6
621,I want my amazon payments account CLOSED. dm me please.,3
630,PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles -,0
632,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,22
634,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,5
636,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",0
643,"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?",3
646,. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out,4
649,"In response to your packing video, this packaging was for a 2ft washing line pole",0
652,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,7
659,", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin…",0
664,"delivery I paid for today,didn’t arrive.why not?i paid enough for it.where is it??I’m unhappy.refund the delivery charge",2
667,"Anna Inspired in idea lab at school to be package being shipped to Narnia! ""Amazon can go anywhere"" according to Anna.",22
672,"I'm NEVER using Amazon again! After waiting in all day as item is ""out for delivery"", they've only gone and sent it to the WRONG COUNTRY!",9
678,My package from with my Halloween costume was “delivered” Friday but I don’t have I so searching everywhere for a last minute idea.,11
682,How packages china,7
690,Order# 3632693-6196346. You couldn't deliver EVEN AFTER A MONTH. You should be ashamed of yourself.,21
693,since when you stop giving 20% off videogame pre-orders (amazon prime members) im confused? why?,23
695,Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,1
1695,my order hasn’t arrived (it was due 14th October). Can you help?,15
1699,I called customer service and was told my membership wouldn't be renewed. I was just charged today. How do I get a refund?,6
1708,"being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",0
1710,where can I chat with a support member for a false charge,0
1713,if I add another adult to my Amazon household (with their own account) can they see my wishlists/photos/order history?,3
1715,Seriously ? I order 6 identical washing up bowls and they are all being dispatched as separate orders? My phone is buzzing non-stop!,23
1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",0
1733,I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus,0
1736,Two fake items in one day. Time to cancel my Amazon Prime membership.,4
1741,please spend time &amp; money to fix your app. Constant issues with it.,17
1745,My Kindle not working properly is breaking my heart! 😩💔,0
1748,that is not my apartment!!!!!!! This is the sending time!!!! Where is my package!!!!!!!!!!,4
1753,"This is the Japanese vampire book I blurbed. Different, touching, and perfectly constructed.",0
2549,"Hi, I ordered an item on 18 Oct which said it would be delivered by 20 Oct and I still haven't received it. Can you help? Thanks",24
2553,"Hi. How can I restrict results to German language books, while searching titles on amazon.de?",0
2559,"hello, I’m having an issue with a same day ship order. Can you help me?",15
2561,Erm I bought this item for £5.99... why am I only getting £1.67 back?!,0
2565,Where is my order?,21
2568,"Hey , why is your Prime 2-day delivery not arriving until Monday? Is there a holiday I don't know about?",12
2577,amazonuk took money without any they are not giving it back nor giving clear statement of my refund proces,17
2580,the queue is clueless on Amazon Household,0
2586,not dlvd after 1 wk. U lied 2 saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,0
2602,Rapidly losing faith in and their #esl CS ability to solve problems. No resolutions or follow ups.,0
3655,"just noticed I paid £4.95 delivery on Amazon simply because I did not select the FREE delivery option, after I spent enough to qualify... what a RIP OFF, why is it not free automatically when qualifying",2
3726,Why do you say that an article is eligible for free delivery then offer nothing but standard option at £4.75?,2
3729,i reset my password 3 times and it still says incorrect you gotta be shitting me,0
3733,"um, my account was locked as soon as I tried to login on desktop. I still haven’t received an email on how to get it unlocked...",14
3742,Thanks for ruining #Halloween - still no sign of the costume I ordered in Sept. Guess Rosie will just have to sit this one out.,1
