conversation_id,tweet_id,text,cluster_hint,stratum,intent,is_ambiguous,is_multi_intent,notes
2736268,2736268,"Me n the missus ordered 2 signed DVDs for our kids from , Only received One! :( going to have very upset kids come christmas morning, is there anything we can do?",0,normal,wrong_or_damaged_item,Y,N,
2918813,2918813,"Hate—HATE—the new order tracking page. SUCKS, SUCKS, SUCKS, SUCKS.",0,normal,website_or_app_ux,N,N,
1279788,1279788,stop selling poor quality items.i ordered a set of 4 ADSL splitters and not a single piece was working.,0,normal,wrong_or_damaged_item,N,N,
2685118,2685118,I have in tech improvement idea for the firestick.,0,normal,website_or_app_ux,N,N,
1043199,1043199,Amazon is really struggling with translations. I think.,0,normal,general_complaint,Y,Y,
1445438,1445438,terrible experience with Global Shipping. Pathetic vendor #UPS #i-parcel at #Singapore my courier is lost??!?,0,normal,customer_service_quality,N,Y,
362031,362031,Hey your packaging is a little much #savethetrees #wasteful,0,normal,general_complaint,Y,N,
388804,388804,Hey can I expect some offers on my prime membership renewal...??? #AmazonGreatIndianFestival #AmazonIndia,0,normal,subscription_or_membership,N,N,
442854,442854,I’ve sent messages about this through the site and trawled my settings to change. It’s irksome. How to I get it updated please?,0,normal,device_or_app_technical,Y,N,
1490162,1490162,. Pre-ordered #Slobberkocker a month ago. Now I've been told it won't be dispatched until DECEMBER! Why?,0,normal,delivery_delay_or_missing,N,N,
1676570,1676570,I’m still not over the fact I was able to order by pressing a button on the fridge.,0,normal,general_complaint,N,N,
2752522,2752522,there needs to be a way to report reviews. I'm tired of having to read reviews that have nothing to do with the product.,0,normal,how_to_or_feature_question,Y,N,
2512868,2512868,Winners of #skullcandypartyhop ??,0,normal,general_complaint,N,N,
1176291,1176291,When is this going to be put back in stock?,0,normal,availability_or_eligibility_query,Y,N,[relabeled from customer_service_quality: stock-restock question]
1319003,1319003,Delighted (not) to have waited in all of yesterday for a &amp; parcel to be picked up (their fault) - it's still here.....,0,normal,return_or_refund,N,N,"[relabeled from order_status_or_tracking: failed return pickup, not order status]"
1325575,1325575,Not on priority its high priority you have committed and you have to solve it,0,normal,general_complaint,N,N,
183131,183131,I have yet to receive my battlefront2 beta code from you. When will this be sent? There is nothing in my junk or spam folder. Ty,0,normal,order_status_or_tracking,N,N,
1832134,1832134,How can a site with as much merchandise as have such a poor selection of windshield wipers? Guess I get to go to the auto parts store at lunch tomorrow.,0,normal,general_complaint,Y,N,
167976,167976,"So, today's courier decided to throw a LiPo battery up the stairs instead of walking. Thankfully the seller knew how stupid couriers can be sometimes. We're charging now to make sure it's not damaged for sure though.",0,normal,customer_service_quality,Y,N,
2934446,2934446,"Well, that's me bought a new kilt... (Yeah, I know, bought not made - I'm getting fat and lazy in my old age) It is amazing what you can get on nowadays",0,normal,general_complaint,N,N,
500790,500790,Someone from needs to contact me immediately.,0,normal,customer_service_quality,N,N,
2488458,2488458,"does amazon allows creating a price alert for a specific product so that use is notified based on the price he has set? If, please point me to a specific page on How to. Thanks!",0,normal,how_to_or_feature_question,N,N,"[relabeled from website_or_app_ux: app-feature capability question, not an availability question]"
1327027,1327027,do you have hindi subtitles for #suits?,0,normal,availability_or_eligibility_query,Y,N,[relabeled from device_or_app_technical: content-feature availability (subtitles)]
431111,431111,such a hopeless competition. I've been giving all answers right since 2. Still no luck #apptreasurehunt #AIFWSS18 #AmazonIndia,0,normal,general_complaint,N,N,
180448,180448,your exchange offer not for every PIN area. So stop this ugly add and told this offer valid for selected PIN area.,0,normal,availability_or_eligibility_query,Y,N,"[relabeled from delivery_delay_or_missing: promo regional-eligibility question, not delivery]"
2953691,2953691,this is what I ordered boxes of 72. six times already you send one piece? Teach your robots better,0,normal,general_complaint,Y,N,
473208,473208,why do you send incorrect tracking updates. #falseservice,0,normal,order_status_or_tracking,N,N,
1465994,1465994,Reset #AmazonEcho and tried logging in again. No Amazon Prime Music and Saavn now. Beautiful device BC. /s,0,normal,account_access_or_security,N,N,
1479433,1479433,"Tell me why, when I updated my payment card, my pre order from June gets declined due to card details need updating!!",0,normal,payment_or_gift_card_issue,N,N,
611112,611112,"hi , nothing happenned reg my last query. ????",0,normal,general_complaint,N,N,
565845,565845,Yup I’m sure for my new $100 webcam this was a good choice for packaging options thanks,0,normal,general_complaint,N,N,
1082969,1082969,That is when I can actually retrieve what I ordered from said neighbour,0,normal,general_complaint,N,N,
801658,801658,"Hey, any chance of adding kannada movies? I would love to see.",0,normal,website_or_app_ux,N,N,
570826,570826,"I have a working debit card, but Amazon keeps denying it. I update payment, and nothing changes. What should I do???",0,normal,payment_or_gift_card_issue,N,N,
352360,352360,my order still hasn’t reached me ?!!!,0,normal,delivery_delay_or_missing,N,N,
96708,96708,My only issue is gets confused when i ask her to play ... FIX THIS!!!,0,normal,device_or_app_technical,N,N,
2549041,2549041,sold me a junk Nokia mobile &amp; should take it back. No record of this sale on its shopping website?,0,normal,wrong_or_damaged_item,N,N,
2671623,2671623,you have turned terrible in your services,0,normal,general_complaint,N,N,
1616375,1616375,When is Iphone X expected on ?,0,normal,availability_or_eligibility_query,N,N,[relabeled from general_complaint: product-availability timing question]
723944,723944,no speed change for video player? any plans to bring the feature in?,0,normal,how_to_or_feature_question,N,N,[relabeled from device_or_app_technical: feature-request question]
2384363,2384363,Different prices? Different discounts? Feels like a glitch or a bug,0,normal,website_or_app_ux,N,N,
2319934,2319934,", please sort out your wasteful packaging. This is completely unnecessary for what is some tiny batteries.",0,normal,general_complaint,N,N,
1838844,1838844,i did recharge with amazonpay for jio but I didn't get cashback offer 101,0,normal,payment_or_gift_card_issue,N,N,
1439764,1439764,oh how you have shafted me with you lies and rip off #primedelivery,0,normal,general_complaint,N,N,"[relabeled from lost_or_stolen_package: too vague, no package-specific content]"
2530484,2530484,"your executives are so unprofessional telling me that it will take an year to reach me, that is the training you give to them?",0,normal,general_complaint,N,N,
1150864,1150864,Is there a way to pre-order Mario Odyssey in the digital download version and get the Prime member discount?,0,normal,availability_or_eligibility_query,N,N,[relabeled from not_support_related: pre-order eligibility + discount question]
