conversation_id,customer_message,brand_reply
617,Way to drop the ball on customer service so pissed right now!,"I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN"
617,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",We'd like to take a further look into this with you! Please reach us by phone or chat here: ^AG
621,I want my amazon payments account CLOSED. dm me please.,"I am unable to affect your account via Twitter. For real time support, phone or chat use this link: ^CH"
630,How about you guys figure out my Xbox One X project Scorpio edition first. No expected delivery or shipping date and it’s only a week away,I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ
630,Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,Thanks for your patience. ^KM
632,my package was ‘accidentally’ opened.. 4 items missing worth £97. You need better delivery drivers!!,I'm sorry your order arrived in this condition! Please reach out to us for available options: ^DG
634,why is my order at my local courier for the last 6 days and still hasn’t been delivered to me?? Over 1 week late 😡,I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: ^SH
636,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",Alexa says both styles are working for you! My vote goes to the Flamingo look! ^SE
643,"Bought an Echo Show and it won’t recognize a single account in our household. WTF, guys?","Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: ^SG"
643,Is the Echo Show no longer supported?,"The Echo Show is supported, please reach us for some live troubleshooting at your convenience: ^DW"
643,Hi ready for some help,Were you able to reach us at the link DW provided? ^TR
646,. Item has not been delivered but tracking says it was handed to me over an hour ago... 2nd time this has happened. Sort it out,I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: ^SY
646,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,You can also request a call back here Martin ^KM
649,"In response to your packing video, this packaging was for a 2ft washing line pole",Thanks for bringing this to our attention! Please also leave packing feedback here: so we may improve.^KL
652,Is it possible to prevent AMZL from delivering my packages moving forward? Stuff is either lost/stolen/broken EVERY time.,Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: ^SH
652,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?","Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL"
652,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,Provide your details here: and my team will escalate the order to Amazon Logistics for feedback. ^EZ
659,", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin…",I'm sorry your book arrived this way! You can find replacement/refund options here: ^VS
659,"Already handled, just venting. It was a pretty big bummer.",Let us know if there’s anything else we can do for you! We're happy to help out any way we can! ^FR
