conversation_id,tweet_id,text,cluster_hint,stratum,intent,is_ambiguous,is_multi_intent,notes
134806,134806,When you think you’re being organised getting your student card out ready for the bus driver. But it turns out to be an amazon gift card and the driver looks at you like ur an actual thumb,0,normal,not_support_related,N,N,
256661,256661,Hey do you give sponsorships to college fests?,0,normal,not_support_related,N,N,
1105744,1105744,you guys should go back &amp; check Customer Q &amp; A section of laptop category. This promo link is redirecting to !,0,normal,insufficient_context,N,N,
809422,809422,"please stop digital services charging me for gifted Kindle music, your CSRs say get lost.",0,normal,insufficient_context,N,N,
437959,437959,How long do really think it takes someone to read a book? I have spam asking me to review a book within a week of purchase...,0,normal,insufficient_context,N,N,
1310943,1310943,What is the time frame turnaround for 's gift card department to reply about a damaged gift card? Sent photos of card and receipt,0,normal,insufficient_context,Y,N,
1156750,1156750,is this a joke?,0,short,insufficient_context,N,N,
1049128,1049128,... Really!?,0,short,insufficient_context,Y,N,
2553881,2553881,Why am I not surprised. /cc,0,short,insufficient_context,Y,N,
1608595,1608595,pls respond to DM. :),0,short,insufficient_context,Y,N,
781640,781640,No more feeling kind of sad 🤑,0,short,insufficient_context,Y,N,
422328,422328,#apptreasurehunt Omg!,0,short,insufficient_context,Y,N,
1374545,1374545,Where is my uno cards,0,short,insufficient_context,Y,N,
616941,616941,Food!!!,0,short,not_support_related,N,N,
930389,930389,Does actually exist?,0,short,insufficient_context,Y,N,
563006,563006,is the best! 👍👏🙌,0,short,not_support_related,N,N,
280925,280925,where is my pt,0,short,insufficient_context,Y,N,
1766844,1766844,"I really hope so,",0,short,not_support_related,N,N,
503387,503387,. uhhh what?,0,short,not_support_related,N,N,
58091,58091,What does this mean?,0,short,insufficient_context,N,N,
532516,532516,"My two girls in the zone this morning, #looseparts play with discarded packaging. A hive of activity, created puppets and Pokemon characters so far. 👍 #creativeplay #problemsolving #somanybenefits",0,noisy,not_support_related,N,N,
798717,798717,Thank you for the lovely baby box. What a nice gesture for expecting parents! 🍼👶🏼💓,0,noisy,not_support_related,N,N,
2682205,2682205,not sure if I am humoured or plain disappointed. 🤔,0,noisy,insufficient_context,N,N,
1251957,1251957,i'm very pleased with your service.That was really great from your side. Never expected that u will reply in middle of night.🤗🤗🤗,0,noisy,not_support_related,N,N,
2669258,2669258,Tickets for Peter Kay in Leeds sorted! Thank you was so quick and easy 👍🏼🙌🏼,0,noisy,not_support_related,N,N,
602328,602328,Tonight I'm helping with the Christmas order 😺,0,noisy,not_support_related,N,N,
74690,74690,you get some slack about packaging.. but we love the packaging you send your parcels in! Almost as good as the item we actually ordered 😂 #keepupthegoodwork #recycle,0,noisy,not_support_related,N,N,
1645710,1645710,Pumpkin spice &amp; everything nice - make your own here. #PSL 🍂,0,noisy,not_support_related,N,N,
2663802,2663802,Shout-out to for making gift shopping so easy! All gifts have been ordered and are being gift wrapped for me!,0,multi_intent,not_support_related,N,N,
2939162,2939162,Seriously my stuff on the street again!? 😐,0,low_context,insufficient_context,N,N,
2719467,2719467,this offer is not working after checking out ?,0,low_context,insufficient_context,Y,N,
1612058,1612058,Hahahaha ...happy to see sorry message again,0,low_context,insufficient_context,N,N,
1257489,1257489,Saying this again... I LOVE #specificallyPRIME ❤️,0,low_context,not_support_related,N,N,
288975,288975,#KEYoneAppQuiz eagerly waiting to be lucky one. #amazonprime,9,normal,not_support_related,N,N,
1129431,1129431,bunch of liars sitting at customer care..don't buy big electronic products from amazon,19,normal,insufficient_context,N,N,
2495073,2495073,#AmazonPayQuiz waiting for the result,9,normal,not_support_related,N,N,
