conversation_id,clean_text,subcluster
630,PLAYERUNKNOWN'S BATTLEGROUNDS is now available for preorder on Xbox One consoles -,6
636,"Thanks for the style advice, look ...I think? #Halloween2017 #flamingo",4
649,"In response to your packing video, this packaging was for a 2ft washing line pole",1
659,", it’d be nice if the book I waited 4 months for wasn’t damaged inside of an undented box. #twinpeaks #twin…",1
1708,"being charged for amazon prime &amp; when I go to cancel it, it’s saying I’m not a member😠😠😠",11
1710,where can I chat with a support member for a false charge,1
1718,"I ordered some parts of my costume late, but my amazon has a map of the driver and they're like, 6 houses away.",9
1733,I signed up for Prime so I could preorder Battlefront II and get all the bonuses and now cust service is saying I won’t get bonus,12
1745,My Kindle not working properly is breaking my heart! 😩💔,6
1753,"This is the Japanese vampire book I blurbed. Different, touching, and perfectly constructed.",1
2553,"Hi. How can I restrict results to German language books, while searching titles on amazon.de?",1
2561,Erm I bought this item for £5.99... why am I only getting £1.67 back?!,0
2580,the queue is clueless on Amazon Household,1
2586,not dlvd after 1 wk. U lied 2 saying left in safe place on Fri. Yesterday u said wld be dlvd 24-48hrs. Sort this now!,10
2602,Rapidly losing faith in and their #esl CS ability to solve problems. No resolutions or follow ups.,1
3729,i reset my password 3 times and it still says incorrect you gotta be shitting me,1
3749,why your videos on Germany breaks too?,1
5137,WHERES MY PC CASE AMAZON. Are loss memes organic.,1
5159,"Hit ❤ or re-tweet to get notified when the OnePlus 5T sale begins, exclusively on Amazon. Stay tuned to get #ANewView.",1
5789,"I have stopped ordering from your site, Amazon courier guys are very rude. I have given similar complaints to u no of tyms.",10
5796,I go to watch #thebay and episode 7 &amp; 8 aren’t there??? 😭,1
5801,"I lost my signal while searching something in and since the page didn't load, this shows up...I am not even mad. #DogsForLife",1
5803,#HappyHalloween2017 from your biggest fan. Thank you for creating #efficient and #healthy households nationwide!,1
8540,pls investigate ur satara (Maharashtra) amzn staff or ur reputation is doomed in the region in long term.,1
9132,Haha has been sneakily charging me $9.99 SINCE FEBRUARY for a service I never use💩🙈👎 $90 gone!!! Thanks,4
9788,please teach Alexa slang. I've been trying to play Momentz by gorillaz for the last 30 minutes.,1
9791,Ordered cases for our new iPhone X and sent me iPhone 8 cases for BOTH ones. NOT THE SAME PHONE! #pissed,13
9799,Why can't the updates move properly,1
9817,Please explain this,1
9823,thanks for the new movies on Prime video. Something new to distract from pain during CRPS flare ups #TheWitches 🌙🎃,13
10624,Anyone else see an odd looking website? It looks very different. Not wrkng as easily and lots of red text,1
10626,I love my new Kindle Oasis! Please tell me that immersion reading will be added in a future update?!,6
10634,How does amazon have late shipping? Multi billion dollar company,1
10658,"Hey yall. Why is my checkout not working? I click ""checkout with fresh"" and it takes me to an error page. What's the deal?",8
10662,where’s my damn nutribullet,11
11070,Pumpkin spice is here so it must be autumn! We’ve picked 3 fall cookbooks to whet your appetite:,1
11085,I'm so frustrated w/how things keep changing. Making it hard on POOR people!!! Free isn't free anymore.,2
11090,My drying rack was broken when I opened the box. What should I do ?,1
11590,my Amazonid is __email__ is blocked since 3months please unblock it.,1
11600,#Halloween #goldenretriever #dogs #puppy 6 month old service dog Halloween,12
11603,"My order 113-8951188-2020217 says ""Left in mailroom"" but my house doesn't have a mailroom and I've been home all day.",5
11976,Seriously what is up with ordering things and it being open? You guys shipping returned items. 2nd day in a row this happens :SMH:,1
12509,thanks for such thoughtful packing. Must be why it takes so long to ship #whoneedspeanuts #oversized,4
12549,Changed your mind about something you bought? Have no fear. Replace products with ease on Amazon.,1
13173,STOP USING THE They are a useless government entity.,1
13180,y'all gotta get rid of AMZL and try again,1
13186,. support is sure going down hill. 6 hours later and still no call and I'm a Prime member,2
13558,any idea when this order will arrive? I have a sassy Brit since grocery stopped carrying his #teatime #isthisatrick,5
13563,when do you guys charge for the Xbox one X I preordered? It ships the 6th.,1
13567,it’s not nice to upset a kid (my daughter) on Halloween waitin’ for her dress it was prime and extra paid and you guys failed her !,11
13569,you have a problem in your website =D,1
13900,is there a way to know if the Amazon gift cards I send are being used?,1
13911,"What is this ?? Is this the way you treat your customers?? Seriously, I want an answer from you",1
14287,I'm absolutely mad right now that has said nothing about how Pay has charged me multiple times on subscriptions.,2
14291,What the hell ?! This boxed is beyond damaged. I wanted a new one!,13
14303,"ordered what was on the box for my sister’s wedding gift, that’s what came out of the box. What gives?!",11
15268,. thanks for no replies whatsoever on my complaint.an you please tell me what more should I do?,4
15668,#SuperValueDayQuiz Where is the result of super value day quiz conducted on Oct 1 and 2 ?,1
15692,"Haven't received my refund, it's been more than a week",1
15709,Purolator put my Amazon order on the wrong truck so now it's not getting her until tomorrow =(,0
16125,Never buy large appliances from as they DO NOT provide installation service. #CustomerInconvenience #ApniDukan? #Fail,12
16426,somehow Siri can turn off my lights but Alexa is incapable. #pleasefixit #buggedupdate,1
16428,Not impressed with Amazon Logistics. Computer parts delayed a week and a refund is the only option? Really disappointed.,1
16456,Do dolls creep you out? You are not alone. The truth is scarier than you think. #LoreTV,1
16467,"Now that I’m streaming to your Prime Do U have audio assisted movies, TV, etc. as I am visually impaired. ?",10
16474,"hi, can you guys give me the country code of amazon usa. amazon gave me headaches..",1
16758,fuck you guys. Canceling Prime. Not gonna do business with you guys ever again.,1
16764,"Honestly, it's like a pyramid scheme. Pay extra to be mistreated. Issue not resolved even after 45 min calls. #disconected",9
17234,Going to take this in the consumer court...total fraud from amazon i will sue you guys for this ...,1
17266,I'm having problems watching. Its always freezing or buffering.,2
17648,"Found error on website, one click on $4.85 makes it $285 on card select screen",3
17678,where does a customer goes to share his/her concerns about the fullfillment centre,1
17686,hey I started a Amazon prime trial..i was charged $1..wats that about ?,8
17887,. ist mal wieder on fire.,1
17916,why am i charged $10.99 for prime membership every month when i have purchased it for INR 499?,1
18169,"Accidentally bought Amazon Prime when I misread it for the free month trial, and I wanted to know if theres any way for a refund",1
18395,Hey what about the #iphone8appquiz ?,8
18402,"Hey : the 4K FireTV is great, but not needing to restart after every sleep to have it find my WiFi network would be better.",8
18687,Looks like is experimenting with a new design. Experiencing flashes of it on my Safari.,9
18691,"This in unacceptable. You sell a book that has a MRP of Rs. 299 for Rs. 336 to me. Then, you drop the price to 302.",1
18725,why are some episodes in the series showing as unavailable???,1
18728,"Hi , this is the third day in a row that I have received this message, I know Texas is big but seriously how hard is it to deliver 2 car stickers? My Prime membership is feeling pretty laughable at this point.",1
19188,Thanks for the immediate responce . Later.,4
19448,Ab amazon wale mughe refund bhi nhi de rhe.,1
19475,HorrbleService👿Booked #Redmi4 on 16.10.17. Neither phn recd nor refnd. complnt alrdy made. No response at all. Fed up wd amzon,1
19485,"I have received the product in damaged condition, it's tempered from outside though material was not spilling.",7
20034,how do i delete my old credit cards from the list,1
20037,"I must say, I see why is the #1 Company in the world. They are so courteous. So compliant. So helpful....",1
20039,"I must say, I see why is the #1 Company in the world. They are so courteous. So compliant. So helpful.",1
20041,"how to stop my prime membership, since i was scammed and you do nothing to me, i need to cancel my membership.",1
20418,"I’m trying to order a Fire HD Kids tablet from but I can’t seem to find any region that ships to Denmark. Not UK, DE or US 😞",5
20421,amazon stick from is authorized seller?,1
20479,Hey any plans of restocking DVDs ? #ImpracticalJokers,8
20482,why isn’t the brighton morrissey date on the presale website?,1
20486,Why Amazon.in prime members are not allowed to access kindle prime reading section?,6
20764,can you let me know the status of parcel #Q40724393184. Thank you x,1
21079,", as haven’t replied, could you?",1
